Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
b'Marcie',b'auntiemarse',b'1371',b'1412',b'42',b'838593559506780160',b'False',b'',b'2017-03-06 03:34:19',b'968000973238018050',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Pam Calhoon',b'PamCalhoon',b'10024',b'1566',b'138',b'2588667612',b'False',b'',b'2014-06-26 02:42:36',b'968000735857094656',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPad',b'18',b'None',b'None'
b'Penelope',b'Bluesette_',b'18352',b'10999',b'1131',b'4779115634',b'False',"b'Pacific Northwest, Wa'",b'2016-01-18 16:37:44',b'968000213490126849',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPad',b'18',b'None',b'None'
b'Beate Harris',b'harris_beate',b'962',b'151',b'35',b'849132060778283008',b'False',"b'Lacey, WA'",b'2017-04-04 05:30:34',b'967999124812455936',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for Android',b'18',b'None',b'None'
b'MUA CLARITYFACES',b'_MSCLARITY_',b'13387',b'3821',b'1586',b'176650610',b'False',"b'FROM DETROIT  ,MI'",b'2010-08-10 02:29:52',b'967998944184848384',b'@elfcosmetics @Maybelline @COVERGIRL @fentybeauty @elfcosmetics THANK YOU \xf0\x9f\x92\x8b',b'en',b'Twitter for iPhone',b'0',b'176650610',b'_MSCLARITY_'
b'Joann Becker',b'wcthlvr',b'15971',b'739',b'285',b'735925850231578624',b'False',b'',b'2016-05-26 20:09:30',b'967998939638087687',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for Android',b'18',b'None',b'None'
b'The Girls',b'CafeofBeauty_',b'79',b'12',b'26',b'934172633452679168',b'False',b'',b'2017-11-24 21:31:26',b'967998887360217088',"b'""By being natural and sincere, one often can create revolutions without having sought them.""\n\n@tartecosmetics\xe2\x80\xa6 https://t.co/7eqadOpNqh'",b'en',b'Twitter for Android',b'0',b'None',b'None'
b'Dana DeBruine',b'DeBruineDana',b'269',b'1361',b'33',b'791442701845688320',b'False',b'Wisconsin',b'2016-10-27 00:53:39',b'967998770012180481',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for Android',b'18',b'None',b'None'
b'Audrey',b'audreyandray',b'139398',b'108865',b'3855',b'286208037',b'False',b'Seattle WA',b'2011-04-22 15:13:11',b'967998696355905538',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Ginger M. Taylor',b'GingerMTaylor2',b'601',b'333',b'23',b'811082867715481602',b'False',b'',b'2016-12-20 05:36:39',b'967998581964726277',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for Android',b'18',b'None',b'None'
b'Karen Ternes',b'kaarmiet',b'798',b'135',b'129',b'870710389125914624',b'False',"b'Minnesota, USA'",b'2017-06-02 18:35:08',b'967998514935599104',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for Android',b'18',b'None',b'None'
b'Jennifer Young',b'Jeyoung78',b'387',b'1127',b'50',b'800161606843830273',b'False',"b'Seattle, WA'",b'2016-11-20 02:19:28',b'967998337491202048',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'the purple lady \xf0\x9f\x92\x9c\xf0\x9f\x92\x8b',b'th_purpl_lady',b'157779',b'198537',b'9103',b'348837052',b'False',b'#PURPLETAKEOVER ',b'2011-08-05 02:38:02',b'967998287499345920',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Nadia Christiansen',b'NadiaChristia15',b'999',b'12061',b'40',b'1366609914',b'False',b'Danmark',b'2013-04-20 09:48:50',b'967998231669026816',b'Only got a few hours of sleep last night so I need lots of coverage and highlight \xf0\x9f\x92\x9c @glamglow @Maybelline\xe2\x80\xa6 https://t.co/sXf6m9myfb',b'en',b'Twitter for iPhone',b'0',b'None',b'None'
b'Marg',b'Margstark',b'11169',b'1047',b'410',b'47868806',b'False',"b'Coronado, California'",b'2009-06-17 05:36:54',b'967998158964891648',b'RT @ercsmommy: Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties appreciate your\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Lisa Archbold Cox',b'ercsmommy',b'18226',b'11363',b'1152',b'30006843',b'False',"b'Cincinnati, OH'",b'2009-04-09 15:43:12',b'967998129445441536',b'Thank you to @Maybelline for supporting family friendly TV like @WCTH_TV on @hallmarkchannel.  The #Hearties apprec\xe2\x80\xa6 https://t.co/FIi4H8715h',b'en',b'Twitter for iPhone',b'18',b'None',b'None'
b'Shawnta Elizabeth',b'MakeupbyTayzer',b'118',b'113',b'21',b'843521575219425285',b'False',"b'Arizona, USA'",b'2017-03-19 17:56:30',b'967998097312776194',b'@juviasplace - Festival palette\n@Maybelline - Superstay foundation \n@ColourPopCo X @AlexisRenG - Bare Necessities\xe2\x80\xa6 https://t.co/Jmx3DWpbDJ',b'en',b'Twitter for iPhone',b'0',b'733057830',b'juviasplace'
b'kendall knudsen',b'Kendallknk',b'3226',b'59',b'62',b'3281873311',b'False',"b'Los Angeles, CA'",b'2015-07-16 19:52:05',b'967997410965409792',b'Thanks so much for these amazing goodies! Can\xe2\x80\x99t say enough good things  @Influenster #FitMeDewy @Maybelline\xe2\x80\xa6 https://t.co/PeioLiVKjt',b'en',b'InfluensterApp',b'0',b'None',b'None'
b'suzette\xf0\x9f\x92\x8b',b'xozette',b'3824',b'20682',b'549',b'343837693',b'False',b'',b'2011-07-28 04:40:41',b'967996885133770752',b'RT @anhnguyeenn: messed up my left but here you go \xf0\x9f\x8c\x8a\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\x97\n@ABHcosmetics ebony dipbrow\n@MorpheBrushes 35b\n@Maybelline solar gold liner \n@ABH\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'4',b'None',b'None'
b'Gina Williams',b'TheGinaWilliams',b'14302',b'3135',b'3500',b'268595860',b'False',"b'Clarkson, KY'",b'2011-03-19 02:54:07',b'967996831845068800',"b""RT @Maybelline: You asked for it...and it's here, babellines! We're finally bringing our highly coveted #BurgundyBar palette to the US! Sig\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'52',b'None',b'None'
b'Juice Mama',b'alexusdaeshell',b'13411',b'5693',b'1498',b'3235584468',b'False',"b'Arlington, TX'",b'2015-06-04 03:05:36',b'967996091114418176',b'S/O to Maybelline for their new Dewy + Smooth foundation and their Master Prime! I love how these two products look\xe2\x80\xa6 https://t.co/4WgzSYbk7z',b'en',b'InfluensterApp',b'0',b'None',b'None'
b'Kinbrielle',b'ATweeterIsMe',b'10490',b'31797',b'148',b'87113472',b'False',b'Cali',b'2009-11-03 05:11:08',b'967995100755238912',b'@LadyAnastaisya @Maybelline',b'und',b'Twitter for iPhone',b'0',b'447925193',b'LadyAnastaisya'
b'val\xf0\x9f\xa6\x92',b'Valsterr27',b'41729',b'13216',b'525',b'375966597',b'False',b'',b'2011-09-19 02:10:42',b'967994567063736325',b'@xaybeatz @BenefitBeauty @glossier @ColourPopCo @NyxCosmetics @Eyeko @bhcosmetics @MACcosmetics @Maybelline\xe2\x80\xa6 https://t.co/yS7Kgpvkb4',b'en',b'Twitter for iPhone',b'0',b'937490245112565760',b'xaybeatz'
b'Emma Alexxandra',b'Emma_Alexxandra',b'2525',b'369',b'178',b'419814959',b'False',b'',b'2011-11-23 20:37:43',b'967994558142443520',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'kim kai\xe2\x80\x99s wife',b'Sc29942003',b'29',b'44',b'6',b'866414242529980416',b'False',b'',b'2017-05-21 22:03:47',b'967993674452865024',b'RT @Maybelline: @babyksooo We WISH we could be lucky enough to have them in our commercials \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82.',b'en',b'Twitter for iPhone',b'12768',b'None',b'None'
b'vicky',b'vickytngyn',b'5988',b'5335',b'233',b'2486651455',b'False',b'510\xe2\x9e\xa1\xef\xb8\x8f858',b'2014-05-10 04:00:06',b'967991412250763264',b'RT @anhnguyeenn: messed up my left but here you go \xf0\x9f\x8c\x8a\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\x97\n@ABHcosmetics ebony dipbrow\n@MorpheBrushes 35b\n@Maybelline solar gold liner \n@ABH\xe2\x80\xa6',b'en',b'Twitter for iPhone',b'4',b'None',b'None'
b'Princess Mackie',b'southern_grace3',b'2389',b'2955',b'220',b'607823303',b'False',"b'Fort Worth, TX'",b'2012-06-14 04:43:33',b'967990607862992896',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'Desrae Melville',b'DesraeM',b'936',b'395',b'78',b'331326808',b'False',b'Australia',b'2011-07-08 00:41:29',b'967988600380964865',"b'RT @grandrunning: We see your sponsorship and appreciate you supporting the best show on TV, @Wayfair @Febreze_Fresh and @Maybelline . #Hea\xe2\x80\xa6'",b'en',b'Twitter for iPhone',b'6',b'None',b'None'
b'IDontKnow',b'notsurewhatodo',b'7479',b'12808',b'370',b'785043350412025856',b'False',b'Who Honestly Knows',b'2016-10-09 09:04:55',b'967988480524668928',b'Wanted to try something with some negative space \xe2\xad\x90 \nUsed:\nStar sticker\n@Itcosmetics brow pencil\n@CARGOcosmetics get\xe2\x80\xa6 https://t.co/3MSnd1srjN',b'en',b'Twitter for Android',b'0',b'None',b'None'
b'Jessica Sevilla',b'jessiesh18',b'5',b'0',b'12',b'1546428062',b'False',"b'Tijuana, Baja California'",b'2013-06-25 18:53:36',b'967987716775346176',b'@Influenster #FitMeDewy @Maybelline #complimentary #contest https://t.co/QC9hHZwl6j',b'und',b'InfluensterApp',b'0',b'60152652',b'Influenster'
b'xaybeatz',b'xaybeatz',b'82',b'16',b'578',b'937490245112565760',b'False',b'IG: @xaybeatz',b'2017-12-04 01:14:26',b'967987607735975937',b'\xf0\x9f\x90\xa0\xf0\x9f\x90\xa0\xf0\x9f\x90\xa0\xf0\x9f\x90\xa0\xf0\x9f\x90\xa0\n________________\n\n- @BenefitBeauty \n- @glossier\n- @colourpopco\n- @nyxcosmetics \n- @eyeko \n- @bhcosmetics \n-\xe2\x80\xa6 https://t.co/hGgEqEjia3',b'und',b'Twitter for iPhone',b'4',b'None',b'None'
b'Laquana Thames',b'quana456',b'9681',b'8945',b'305',b'2642901736',b'False',"b'Queens, NY'",b'2014-06-26 05:02:55',b'967985975501688832',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'Jacqueline C\xe2\x9c\xa8',b'ciaraa_mistt_',b'77071',b'1620',b'2820',b'597980987',b'False',b'NOLA',b'2012-06-03 03:38:33',b'967984320446107648',b'This @Maybelline fit me matte &amp; poreless is \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe',b'en',b'Twitter for iPhone',b'0',b'None',b'None'
b'Carrie Ferguson',b'kvietka11',b'20',b'57',b'4',b'3437136190',b'False',b'',b'2015-08-23 19:09:12',b'967982234648051712',"b'RT @grandrunning: We see your sponsorship and appreciate you supporting the best show on TV, @Wayfair @Febreze_Fresh and @Maybelline . #Hea\xe2\x80\xa6'",b'en',b'Twitter Web Client',b'6',b'None',b'None'
b'Kanon',b'k_mix13_',b'782',b'4985',b'893',b'2943744180',b'False',b'',b'2014-12-26 10:15:01',b'967981695654744064',b'\xe3\x83\x8d\xe3\x83\x83\xe3\x83\x88\xe3\x81\xaf\xe5\xae\x8c\xe6\x95\x97\xe3\x82\x84\xe3\x81\x8b\xe3\x82\x89\xe8\xb2\xb7\xe3\x81\x84\xe3\x81\xab\xe8\xa1\x8c\xe3\x81\x93\xe3\x80\x82\xe3\x80\x82\xf0\x9f\x98\xa2\n@GiGiHadid \xc3\x97 @Maybelline',b'ja',b'Twitter for iPhone',b'0',b'None',b'None'
b'Anh Nguyen',b'anhnguyeenn',b'918',b'3232',b'302',b'844115875691089921',b'False',b'',b'2017-03-21 09:18:02',b'967981613354123265',b'messed up my left but here you go \xf0\x9f\x8c\x8a\xf0\x9f\xa7\x9c\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\x97\n@ABHcosmetics ebony dipbrow\n@MorpheBrushes 35b\n@Maybelline solar gold line\xe2\x80\xa6 https://t.co/t2T9ZEgqo4',b'en',b'Twitter for iPhone',b'4',b'None',b'None'
b'Christina\xf0\x9f\x90\xb2\xf0\x9f\x92\x95',b'AdelineChristi',b'4884',b'9801',b'307',b'1663357446',b'False',b'St. Johns ',b'2013-08-11 20:25:58',b'967979799393259526',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'Tina.',b'kristinelenz',b'5470',b'3654',b'104',b'16269366',b'False',"b'New Orleans, LA'",b'2008-09-13 06:35:26',b'967978634928709632',"b""RT @Maybelline: It's finally here! We heard your requests to bring our fan favorite #BurgundyBar palette to the US and we hope you're ready\xe2\x80\xa6""",b'en',b'Twitter for iPhone',b'91',b'None',b'None'
b'Mikah Jones',b'mjonessc',b'4087',b'2167',b'138',b'212244940',b'False',"b'Anderson, SC'",b'2010-11-05 14:55:48',b'967978178286424064',b'@Influenster #FitMeDewy @Maybelline #complimentary #contest https://t.co/JEmJYNxBt1',b'und',b'InfluensterApp',b'0',b'60152652',b'Influenster'
b'Debbie Welch',b'besttexasoma',b'325',b'795',b'68',b'855556037042212864',b'False',"b'Keller, TX'",b'2017-04-21 22:57:09',b'967977338955845632',"b'RT @grandrunning: We see your sponsorship and appreciate you supporting the best show on TV, @Wayfair @Febreze_Fresh and @Maybelline . #Hea\xe2\x80\xa6'",b'en',b'Twitter for iPhone',b'6',b'None',b'None'
"b""Lee Coulter's Pants""",b'LeesPlaidPants',b'16338',b'16608',b'1688',b'703576818930962435',b'False',"b""Lee's closet, Hope Valley""",b'2016-02-27 13:46:00',b'967975827555192832',"b'RT @grandrunning: We see your sponsorship and appreciate you supporting the best show on TV, @Wayfair @Febreze_Fresh and @Maybelline . #Hea\xe2\x80\xa6'",b'en',b'Twitter for Android',b'6',b'None',b'None'
b'Joann Becker',b'wcthlvr',b'15971',b'739',b'285',b'735925850231578624',b'False',b'',b'2016-05-26 20:09:30',b'967975446301130752',"b'RT @grandrunning: We see your sponsorship and appreciate you supporting the best show on TV, @Wayfair @Febreze_Fresh and @Maybelline . #Hea\xe2\x80\xa6'",b'en',b'Twitter for Android',b'6',b'None',b'None'
b'Kate Jesse',b'grandrunning',b'518',b'889',b'87',b'1912847262',b'False',"b'Grand Rapids, MI'",b'2013-09-28 02:30:57',b'967974901326995456',"b'We see your sponsorship and appreciate you supporting the best show on TV, @Wayfair @Febreze_Fresh and @Maybelline\xe2\x80\xa6 https://t.co/0n1bh04NzY'",b'en',b'Twitter Web Client',b'6',b'None',b'None'
b'marzoo28\xf0\x9f\x8c\x99',b'hmartinezxo',b'9970',b'3017',b'214',b'736974274712371200',b'False',"b'Anxiety, TX'",b'2016-05-29 17:35:34',b'967973535204376577',b'@angelicam_s @Maybelline Yesss',b'und',b'Twitter for iPhone',b'0',b'324119954',b'angelicam_s'
b'karla taylor',b'karlataylor131',b'5235',b'353',b'172',b'3241571060',b'False',b'',b'2015-06-10 17:34:22',b'967972794498772992',b'@STEFANIAVIKS @cdnjocelyn @NYXCosmetics_UK @NyxCosmetics @inglotireland @EylureOfficial @Certifeye @Maybelline Pretty',b'en',b'Twitter for Android',b'0',b'2679626788',b'STEFANIAVIKS'
b'\xf0\x9f\xa6\x8bKYON\xf0\x9f\xa7\x9c\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xe3\x81\x8d\xe3\x82\x87\xe3\x82\x93\xf0\x9f\xa6\x8b',b'ariana_kyon',b'9065',b'12817',b'3256',b'753111625398452224',b'False',b'\xe3\x82\xa2\xe3\x83\xaa\xe3\x82\xa2\xe3\x83\x8a\xe6\x98\x9f\xe6\xb4\x8b\xe6\xa5\xbd\xe5\xb8\x82 \xe3\x83\xa9\xe3\x83\x97\xe3\x83\xb3\xe3\x83\x84\xe3\x82\xa7\xe3\x83\xab\xe7\x94\xba 2\xe4\xb8\x81\xe7\x9b\xae 996\xe7\x95\xaa\xe5\x9c\xb0 \xe3\x83\x87\xe3\x82\xa3\xe3\x82\xba\xe3\x83\x8b\xe3\x83\xbc\xe3\x83\x81\xe3\x83\xa3\xe3\x83\xb3\xe3\x83\x8d\xe3\x83\xab\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xbc\xe3\x82\xba\xe3\x83\x9e\xe3\x83\xb3\xe3\x82\xb7\xe3\x83\xa7\xe3\x83\xb3303',b'2016-07-13 06:19:38',b'967971167226048517',b'@YouTube91910 @GiGiHadid @LoveMaybelline @Maybelline \xe6\x81\xb5\xe6\xaf\x94\xe5\xaf\xbf\xe3\x81\xae\xe3\x83\x97\xe3\x83\xa9\xe3\x82\xb6\xe3\x81\xa7\xe3\x81\x99\xef\xbc\x81',b'ja',b'Twitter for iPhone',b'0',b'865189282394152961',b'YouTube91910'
b'makeupby_Star',b'ULUVSTAR',b'197',b'401',b'113',b'2538623964',b'False',"b'Atlanta, GA'",b'2014-06-01 03:59:57',b'967970403888099328',b'@Maybelline matte  fit me foundation \xe2\x80\x9c355\xe2\x80\x9d \n@b_radiance brow pomade \xe2\x80\x9cblackish brown\xe2\x80\x9d \n@MACcosmetics lipstick \xe2\x80\x9cantiq\xe2\x80\xa6 https://t.co/CYQyz9d3Qe',b'en',b'Twitter for iPhone',b'0',b'64574086',b'Maybelline'
b'aCommerce',b'aCommerceASIA',b'3665',b'649',b'1010',b'2201103992',b'False',b'Southeast Asia',b'2013-11-18 10:57:38',b'967969749807312896',"b""@Maybelline, @NyxCosmetics and @lorealparis are among the brands under L'Oreal that aCommerce is proud to be their\xe2\x80\xa6 https://t.co/6G7A5rxVRR""",b'en',b'Buffer',b'0',b'64574086',b'Maybelline'
